"","lon","lat","address"
"1",-122.327304,47.607858,"909 9th avenue, seattle, wa 98104, usa"
"2",-122.311689,47.578265,"2810 16th avenue south, seattle, wa 98144, usa"
"3",-122.3123277,47.6014523,"1515 east yesler way, seattle, wa 98122, usa"
"4",-122.314026,47.571173,"1458 south columbian way, seattle, wa 98144, usa"
"5",-122.314307,47.584833,"2020 14th avenue south, seattle, wa 98144, usa"
"6",-122.303561,47.6009253,"209 22nd avenue south, seattle, wa 98144, usa"
"7",-122.314525,47.588318,"1702 14th avenue south, seattle, wa 98144, usa"
"8",-122.293122,47.574244,"3300 wetmore avenue south, seattle, wa 98144, usa"
"9",-122.314523,47.588705,"1544 14th avenue south, seattle, wa 98144, usa"
"10",-122.3247272,47.5998504,"651 south main street, seattle, wa 98104, usa"
"11",-122.315067,47.584123,"2111 14th avenue south, seattle, wa 98144, usa"
"12",-122.316905,47.590214,"1340 12th avenue south, seattle, wa 98144, usa"
"13",-122.300819,47.596399,"710 24th avenue south, seattle, wa 98144, usa"
"14",-122.3323012,47.602733,"606 2nd avenue, seattle, wa 98104, usa"
"15",-122.3259654,47.6055531,"804 james street, seattle, wa 98104, usa"
"16",-122.3258848,47.6016355,"609 yesler way, seattle, wa 98104, usa"
"17",-122.3324881,47.6051064,"317 marion street, seattle, wa 98104, usa"
"18",-122.3361893,47.6049041,"1000 1st avenue, seattle, wa 98104, usa"
"19",-122.295584,47.578592,"2810 south mcclellan street, seattle, wa 98144, usa"
"20",-122.316351,47.587649,"1723 13th avenue south, seattle, wa 98144, usa"
"21",-122.3017478,47.5889303,"2300 south massachusetts street, seattle, wa 98144, usa"
"22",-122.3129633,47.5899742,"1515 south atlantic street, seattle, wa 98144, usa"
"23",-122.295971,47.573008,"3315 claremont avenue south, seattle, wa 98144, usa"
"24",-122.316905,47.591379,"1201 12th avenue south, seattle, wa 98144, usa"
"25",-122.296223,47.593761,"922 28th avenue south, seattle, wa 98144, usa"
"26",-122.324873,47.605201,"517 9th avenue, seattle, wa 98104, usa"
"27",-122.287096,47.595916,"720 lakeside avenue south, seattle, wa 98144, usa"
"28",-122.3276027,47.6090867,"1018 9th avenue, seattle, wa 98104, usa"
"29",-122.313809,47.580241,"2523 15th avenue south, seattle, wa 98144, usa"
"30",-122.302926,47.592387,"1123 23rd avenue south, seattle, wa 98144, usa"
"31",-122.324134,47.597847,"519 7th avenue south, seattle, wa 98104, usa"
"32",-122.316902,47.587864,"1718 12th avenue south, seattle, wa 98144, usa"
"33",-122.329056,47.602563,"411 jefferson street, seattle, wa 98104, usa"
"34",-122.308895,47.5753259,"1746 south hanford street, seattle, wa 98144, usa"
"35",-122.3084577,47.5935499,"hiawatha place south, seattle, wa 98144, usa"
"36",-122.302965,47.600467,"2200 south main street, seattle, wa 98144, usa"
"37",-122.299009,47.600159,"301 26th avenue south, seattle, wa 98144, usa"
"38",-122.326696,47.606965,"814 columbia street, seattle, wa 98104, usa"
"39",-122.325983,47.599692,"306 6th avenue south, seattle, wa 98104, usa"
"40",-122.314523,47.588911,"1532 14th avenue south, seattle, wa 98144, usa"
"41",-122.317653,47.5892089,"1527 12th avenue south, seattle, wa 98144, usa"
"42",-122.3299473,47.6005054,"210 3rd avenue south, seattle, wa 98104, usa"
"43",-122.3100495,47.576386,"3019 beacon avenue south, seattle, wa 98144, usa"
"44",-122.3124888,47.5902071,"1550 south atlantic street, seattle, wa 98144, usa"
"45",-122.297811,47.599582,"325 martin luther king junior way south, seattle, wa 98144, usa"
"46",-122.3319816,47.5982635,"201 south king street, seattle, wa 98104, usa"
"47",-122.314131,47.571438,"1450 south columbian way, seattle, wa 98144, usa"
"48",-122.3337933,47.5995944,"314 1st avenue south, seattle, wa 98104, usa"
"49",-122.29622,47.593933,"918 28th avenue south, seattle, wa 98144, usa"
"50",-122.321873,47.605277,"415 boren avenue, seattle, wa 98104, usa"
"51",-122.3337094,47.6026437,"107 cherry street, seattle, wa 98104, usa"
"52",-122.2868913,47.5714264,"3651 south spokane street, seattle, wa 98144, usa"
"53",-122.3274923,47.5975336,"512 south weller street, seattle, wa 98104, usa"
"54",-122.3261541,47.601423,"100 6th avenue south, seattle, wa 98104, usa"
"55",-122.313744,47.586671,"1807 15th avenue south, seattle, wa 98144, usa"
"56",-122.3203433,47.5994436,"pacific rim center, 900 south jackson street, seattle, wa 98104, usa"
"57",-122.308236,47.5977249,"1814 south weller street, seattle, wa 98144, usa"
"58",-122.286617,47.597297,"518 lakeside avenue south, seattle, wa 98144, usa"
"59",-122.334614,47.59901,"401 1st avenue south, seattle, wa 98104, usa"
"60",-122.29584,47.580554,"2531 29th avenue south, seattle, wa 98144, usa"
"61",-122.299019,47.599763,"317 26th avenue south, seattle, wa 98144, usa"
"62",-122.295083,47.595293,"812 29th avenue south, seattle, wa 98144, usa"
"63",-122.3285872,47.5988705,"401 south jackson street, seattle, wa 98104, usa"
"64",-122.295102,47.594636,"836 29th avenue south, seattle, wa 98144, usa"
"65",-122.3339101,47.6034418,"719 2nd avenue, seattle, wa 98104, usa"
"66",-122.309713,47.59724,"1643 south weller street, seattle, wa 98144, usa"
"67",-122.3090778,47.5745149,"3219 beacon avenue south, seattle, wa 98144, usa"
"68",-122.315032,47.579063,"2711 14th avenue south, seattle, wa 98144, usa"
"69",-122.315144,47.571345,"3601 14th avenue south, seattle, wa 98144, usa"
"70",-122.3177295,47.5910402,"1311 12th avenue south, seattle, wa 98144, usa"
"71",-122.286554,47.597444,"510 lakeside avenue south, seattle, wa 98144, usa"
"72",-122.308664,47.574568,"3212 beacon avenue south, seattle, wa 98144, usa"
"73",-122.287948,47.5712812,"3610 36th avenue south, seattle, wa 98144, usa"
"74",-122.314394,47.572671,"3440 14th avenue south, seattle, wa 98144, usa"
"75",-122.313341,47.591122,"1313 16th avenue south, seattle, wa 98144, usa"
"76",-122.302926,47.592387,"1123 23rd avenue south, seattle, wa 98144, usa"
"77",-122.315632,47.587967,"1712 13th avenue south, seattle, wa 98144, usa"
"78",-122.322767,47.604647,"403 terry avenue, seattle, wa 98104, usa"
"79",-122.3264212,47.6095854,"1005 spring street, seattle, wa 98104, usa"
"80",-122.314216,47.581805,"2400 beacon avenue south, seattle, wa 98144, usa"
"81",-122.3151927,47.5886289,"1312 south massachusetts street, seattle, wa 98144, usa"
"82",-122.312683,47.580266,"2528 beacon avenue south, seattle, wa 98144, usa"
"83",-122.318269,47.588662,"1100 south massachusetts street, seattle, wa 98134, usa"
"84",-122.3096188,47.5754087,"3057 beacon avenue south, seattle, wa 98144, usa"
"85",-122.297446,47.593857,"924 martin luther king junior way south, seattle, wa 98144, usa"
"86",-122.305457,47.600249,"2010 south main street, seattle, wa 98144, usa"
"87",-122.297575,47.600577,"206 27th avenue south, seattle, wa 98144, usa"
"88",-122.314313,47.5862253,"1401 south holgate street, seattle, wa 98144, usa"
"89",-122.3270073,47.6051362,"600 7th avenue, seattle, wa 98104, usa"
"90",-122.295123,47.572971,"3320 claremont avenue south, seattle, wa 98144, usa"
"91",-122.2872101,47.599766,"3521 south leschi place, seattle, wa 98144, usa"
"92",-122.292298,47.601111,"110 31st avenue south, seattle, wa 98144, usa"
"93",-122.316472,47.585321,"1213 south plum street, seattle, wa 98144, usa"
"94",-122.315192,47.588911,"1535 14th avenue south, seattle, wa 98144, usa"
"95",-122.314276,47.578822,"2720 14th avenue south, seattle, wa 98144, usa"
"96",-122.316903,47.589142,"1526 12th avenue south, seattle, wa 98144, usa"
"97",-122.3241938,47.6105249,"1207 spring street, seattle, wa 98104, usa"
"98",-122.318269,47.588869,"1604 11th avenue south, seattle, wa 98134, usa"
"99",-122.297748,47.5872389,"1732 martin luther king junior way south, seattle, wa 98144, usa"
"100",-122.317656,47.588797,"1537 12th avenue south, seattle, wa 98144, usa"
"101",-122.2874752,47.573606,"3300 york road south, seattle, wa 98144, usa"
"102",-122.2907454,47.5704277,"3642 33rd avenue south, seattle, wa 98144, usa"
"103",-122.302553,47.596831,"539 23rd avenue south, seattle, wa 98144, usa"
"104",-122.30569,47.5768119,"3001 21st avenue south, seattle, wa 98144, usa"
"105",-122.31377,47.58683,"1801 15th avenue south, seattle, wa 98144, usa"
"106",-122.324418,47.60638,"915 cherry street, seattle, wa 98104, usa"
"107",-122.3137891,47.5828354,"1425 south college street, seattle, wa 98144, usa"
"108",-122.325261,47.6099729,"1105 spring street, seattle, wa 98104, usa"
"109",-122.327365,47.607216,"805 marion street, seattle, wa 98104, usa"
"110",-122.314239,47.590138,"1347 15th avenue south, seattle, wa 98144, usa"
"111",-122.3026567,47.5974169,"501 23rd avenue south, seattle, wa 98144, usa"
"112",-122.3137,47.590733,"1326 15th avenue south, seattle, wa 98144, usa"
"113",-122.314283,47.578985,"2718 14th avenue south, seattle, wa 98144, usa"
"114",-122.314115,47.589593,"1511 15th avenue south, seattle, wa 98144, usa"
"115",-122.298289,47.595023,"2611 south dearborn street, seattle, wa 98144, usa"
"116",-122.3039976,47.6004807,"2100 south main street, seattle, wa 98144, usa"
"117",-122.314298,47.585821,"1914 14th avenue south, seattle, wa 98144, usa"
"118",-122.310367,47.576694,"1705 south stevens street, seattle, wa 98144, usa"
"119",-122.325433,47.599527,"315 maynard avenue south, seattle, wa 98104, usa"
"120",-122.296194,47.594814,"830 28th avenue south, seattle, wa 98144, usa"
"121",-122.3130442,47.5881741,"1709 16th avenue south, seattle, wa 98144, usa"
"122",-122.3299421,47.6013442,"101 prefontaine place south, seattle, wa 98104, usa"
"123",-122.317655,47.588594,"1545 12th avenue south, seattle, wa 98144, usa"
"124",-122.315167,47.591245,"1307 14th avenue south, seattle, wa 98144, usa"
"125",-122.3099819,47.573896,"1727 south horton street, seattle, wa 98144, usa"
"126",-122.316902,47.587727,"1722 12th avenue south, seattle, wa 98144, usa"
"127",-122.335067,47.5999602,"75 south main street, seattle, wa 98104, usa"
"128",-122.309244,47.57387,"3301 beacon avenue south, seattle, wa 98144, usa"
"129",-122.325965,47.600367,"202 6th avenue south, seattle, wa 98104, usa"
"130",-122.304635,47.599764,"2035 south main street, seattle, wa 98144, usa"
"131",-122.28586,47.599264,"334 lakeside avenue south, seattle, wa 98144, usa"
"132",-122.3025452,47.600935,"113 23rd avenue south, seattle, wa 98144, usa"
"133",-122.316351,47.58652,"1815 13th avenue south, seattle, wa 98144, usa"
"134",-122.314251,47.579695,"1406 south lander street, seattle, wa 98144, usa"
"135",-122.31452,47.589593,"1510 14th avenue south, seattle, wa 98144, usa"
"136",-122.3244103,47.5972612,"657 south weller street, seattle, wa 98104, usa"
"137",-122.3345306,47.6012754,"111 1st avenue south, seattle, wa 98104, usa"
"138",-122.2868315,47.5969589,"526 lakeside avenue south, seattle, wa 98144, usa"
"139",-122.315429,47.588207,"1311 south massachusetts street, seattle, wa 98144, usa"
"140",-122.314308,47.5719459,"1414 south columbian way, seattle, wa 98144, usa"
"141",-122.311107,47.587067,"1775 17th avenue south, seattle, wa 98144, usa"
"142",-122.3101679,47.5765754,"3013 beacon avenue south, seattle, wa 98144, usa"
"143",-122.29417,47.599012,"403 30th avenue south, seattle, wa 98144, usa"
"144",-122.295088,47.595129,"818 29th avenue south, seattle, wa 98144, usa"
"145",-122.3078745,47.594745,"842 davis place south, seattle, wa 98144, usa"
"146",-122.300313,47.59715,"531 25th avenue south, seattle, wa 98144, usa"
"147",-122.3337071,47.5975638,"526 1st avenue south, seattle, wa 98104, usa"
"148",-122.3130541,47.5883137,"1701 16th avenue south, seattle, wa 98144, usa"
"149",-122.315188,47.589548,"1511 14th avenue south, seattle, wa 98144, usa"
"150",-122.315177,47.572037,"3501 14th avenue south, seattle, wa 98144, usa"
"151",-122.324918,47.606219,"905 cherry street, seattle, wa 98104, usa"
"152",-122.3284,47.607383,"901 8th avenue, seattle, wa 98104, usa"
"153",-122.317657,47.587044,"1745 12th avenue south, seattle, wa 98144, usa"
"154",-122.286043,47.598824,"400 lakeside avenue south, seattle, wa 98144, usa"
"155",-122.316363,47.585115,"2011 13th avenue south, seattle, wa 98144, usa"
"156",-122.2881176,47.5735357,"3301 york road south, seattle, wa 98144, usa"
"157",-122.316903,47.589416,"1516 12th avenue south, seattle, wa 98144, usa"
"158",-122.3252153,47.6048064,"800 jefferson street, seattle, wa 98104, usa"
"159",-122.3084778,47.5739107,"1749 south horton street, seattle, wa 98144, usa"
"160",-122.316901,47.588139,"1700 12th avenue south, seattle, wa 98144, usa"
"161",-122.312317,47.5882099,"1706 16th avenue south, seattle, wa 98144, usa"
"162",-122.323695,47.610628,"1223 spring street, seattle, wa 98104, usa"
"163",-122.286561,47.599768,"317 lakeside avenue south, seattle, wa 98144, usa"
"164",-122.3346989,47.5993681,"80 south jackson street, seattle, wa 98104, usa"
"165",-122.32282,47.610994,"1301 spring street, seattle, wa 98104, usa"
"166",-122.3151787,47.5914215,"1313 south judkins street, seattle, wa 98144, usa"
"167",-122.315621,47.590283,"1340 13th avenue south, seattle, wa 98144, usa"
"168",-122.294709,47.598299,"2900 south king street, seattle, wa 98144, usa"
"169",-122.32726,47.601358,"108 5th avenue south, seattle, wa 98104, usa"
"170",-122.3311385,47.6012145,"410 2nd avenue extension south, seattle, wa 98104, usa"
"171",-122.322391,47.6105696,"1314 madison street, seattle, wa 98104, usa"
"172",-122.293699,47.571914,"3435 rainier avenue south, seattle, wa 98144, usa"
"173",-122.3287206,47.5997926,"308 4th avenue south, seattle, wa 98104, usa"
"174",-122.2958015,47.5924416,"1129 29th avenue south, seattle, wa 98144, usa"
"175",-122.3031083,47.5922834,"1121 23rd avenue south, seattle, wa 98144, usa"
"176",-122.2994866,47.5982469,"2508 south king street, seattle, wa 98144, usa"
"177",-122.295628,47.587995,"1706 bradner place south, seattle, wa 98144, usa"
"178",-122.329894,47.600704,"204 3rd avenue south, seattle, wa 98104, usa"
"179",-122.288611,47.569972,"3656 35th avenue south, seattle, wa 98144, usa"
"180",-122.3354939,47.6003248,"212 alaskan way south, seattle, wa 98104, usa"
"181",-122.324819,47.610158,"1017 minor avenue, seattle, wa 98104, usa"
"182",-122.28549,47.599835,"300 lakeside avenue south, seattle, wa 98144, usa"
"183",-122.321692,47.604371,"1005 terrace street, seattle, wa 98104, usa"
"184",-122.2881716,47.5781879,"3601 south mcclellan street, seattle, wa 98144, usa"
"185",-122.3258135,47.5963039,"718 6th avenue south, seattle, wa 98104, usa"
"186",-122.314294,47.580523,"2512 14th avenue south, seattle, wa 98144, usa"
"187",-122.31367,47.600427,"1400 south main street, seattle, wa 98144, usa"
"188",-122.312063,47.59073,"1329 sturgus avenue south, seattle, wa 98144, usa"
"189",-122.3097458,47.5948003,"843 hiawatha place south, seattle, wa 98144, usa"
"190",-122.323307,47.606844,"615 boren avenue, seattle, wa 98104, usa"
"191",-122.301896,47.594157,"910 23rd avenue south, seattle, wa 98144, usa"
"192",-122.3136918,47.5711416,"3615 15th avenue south, seattle, wa 98144, usa"
"193",-122.295866,47.573797,"2900 south byron street, seattle, wa 98144, usa"
"194",-122.29757,47.600714,"200 27th avenue south, seattle, wa 98144, usa"
"195",-122.3169056,47.59124,"1308 12th avenue south, seattle, wa 98144, usa"
"196",-122.314442,47.590833,"1320 14th avenue south, seattle, wa 98144, usa"
"197",-122.287349,47.596534,"534 lakeside avenue south, seattle, wa 98144, usa"
"198",-122.3380234,47.6043067,"1009 western avenue, seattle, wa 98104, usa"
