"","Major","Minor","ComplexDescr","NbrBldgs","NbrStories","NbrUnits","AvgUnitSize","ProjectLocation","ProjectAppeal","PcntWithView","ConstrClass","BldgQuality","Condition","YrBuilt","EffYr","PcntComplete","Elevators","SectySystem","Fireplace","Laundry","Address"
"22",859040,930,"APARTMENT BLDG",1,2,8,975,3,3,0,4,4,2,1906,1965,100,"N","Y","N",1,"909 9TH AVE 98104"
"147",60500,0," ",1,1,1,1392,0,0,0,4,5,4,1930,1975,100,"N","N","N",1,"2810 16TH AVE S 98144"
"153",551190,0,"FLATS",1,4,23,1080,3,2,0,4,4,3,2002,2002,100,"Y","Y","Y",2,"1515 E YESLER WAY 98144"
"173",367940,110,"ELMA APTS",1,3,9,582,3,3,0,4,5,3,1961,1986,100,"N","N","N",1,"1458 S COLUMBIAN WAY 98144"
"241",149830,940," ",1,2,4,1015,3,3,50,4,4,4,1902,1988,100,"N","N","N",0,"2020 14TH AVE S 98144"
"264",364610,125,"APARTMENT BLDG 18 UNITS",1,3,18,878,3,3,0,4,4,4,1967,1985,100,"N","Y","N",2,"209 22ND AVE S 98144"
"311",59600,0,"Flats",1,2,4,553,3,3,0,4,4,4,1954,2002,100,"N","N","N",0,"1702 14TH AVE S 98144"
"392",128230,1030,"12 UNIT APTS",2,3,12,957,2,3,0,4,4,3,1992,1994,100,"N","N","N",1,"3300 WETMORE AVE S 98144"
"410",754830,125,"7 UNIT",1,2,7,690,3,3,60,4,4,2,1900,1965,100,"N","Y","N",1,"1544 14TH AVE S 98144"
"437",524780,2245," ",1,5,50,855,2,3,25,4,4,3,2005,2005,100,"Y","Y","N",1,"651 S MAIN ST 98104"
"438",149830,790,"VERN LYNN APTS",1,2,6,804,3,3,25,4,4,4,1904,1979,100,"N","N","N",1,"2111 14TH AVE S 98144"
"510",766010,105,"APARTMENTS",1,4,21,779,3,3,30,4,6,3,1963,1986,100,"N","Y","N",1,"1340 12TH AVE S 98144"
"520",140030,9,"FOURPLEX",1,2,4,779,3,3,0,4,3,3,1900,1970,100,"N","N","N",1,"710 24TH AVE S 98144"
"550",93900,100,"20 unit apt + Retail",1,6,20,1255,3,3,0,3,4,5,1900,1991,100,"Y","Y","N",2,"606 2ND AVE 98104"
"582",859040,790,"",1,3,52,627,2,3,25,3,4,4,1948,1984,100,"N","N","N",1,"804 JAMES ST 98104"
"627",524780,2065," ",1,7,136,600,2,3,36,4,4,3,2005,2005,100,"Y","Y","N",1,"609 YESLER WAY 98104"
"659",94200,555," ",1,3,112,234,3,3,0,2,4,4,1916,1987,100,"Y","Y","N",1,"317 MARION ST 98104"
"731",347000,0,"120 Room Full Service Hotel",1,10,120,0,0,0,0,1,8,3,2006,2006,100,"Y","Y","Y",0,"1000 1ST AVE 98104"
"739",360,8,"4 PLEX",1,2,4,675,3,3,0,4,4,3,1959,1981,100,"N","N","N",1,"2810 S MCCLELLAN ST 98144"
"744",787270,0,"16 FLAT UNITS",1,4,16,704,3,3,60,4,4,5,1968,1992,100,"N","Y","N",2,"1723 13TH AVE S 98144"
"765",884770,0," ",1,3,34,683,0,0,53,3,5,4,1900,1990,100,"N"," ","N",1,"2300 S MASSACHUSETTS ST 98144"
"789",155490,0,"68 UNIT",18,3,68,1144,4,3,0,4,4,3,1997,1997,100,"N","N"," ",2,"1515 S ATLANTIC ST 98144"
"878",128230,510,"FIVE UNIT APT",1,3,5,859,3,3,0,4,4,3,1992,1994,100,"N","N","N",2,"3315 CLAREMONT AVE S 98144"
"884",766010,150,"APARTMENTS",1,3,6,816,3,3,30,4,5,3,1959,1985,100,"N","N","N",1,"1201 12TH AVE S 98144"
"935",156170,0,"TOWNHOUSES",2,2,4,1174,3,3,0,4,4,3,1980,1982,100,"N","N","Y",2,"922 28TH AVE S 98144"
"972",859040,755,"TERRACE CREST APT'S",1,3,34,685,2,3,0,3,4,3,1930,1977,100,"N","N","N",1,"517 9TH AVE 98104"
"986",427910,0,"32 UNIT CONDOMINIUM",1,4,32,594,5,3,0,3,4,4,1957,1985,100,"N","Y","N",1,"720 LAKESIDE AVE S 98144"
"1023",197920,245,"PAUL REVERE APTS",1,4,66,409,3,3,0,3,4,4,1923,1981,100,"N","Y","N",1,"1018 9TH AVE 98104"
"1033",138980,115," ",1,4,18,1153,3,3,75,4,4,3,2003,2003,100,"Y","Y","N",0,"2523 15TH AVE S 98144"
"1128",765860,195," ",1,3,6,1092,0,0,0,4,4,3,2004,2004,100," "," "," ",0,"1123 23RD AVE S 98144"
"1161",524780,2375,"GEE HOW OAK TIN",1,3,21,477,2,3,0,3,4,3,1907,1974,100,"N","Y","N",1,"519 7TH AVE S 98104"
"1189",766010,360,"BEACON APTS",1,2,6,633,3,3,0,4,5,3,1908,1975,100,"N","N","N",0,"1718 12TH AVE S 98144"
"1266",94200,1090,"APARTMENTS",1,3,12,459,2,2,0,4,3,3,1902,1970,100,"N","Y","N",1,"411 JEFFERSON ST 98104"
"1297",59700,605,"MULTIPLEXES",3,1,9,726,3,3,0,4,5,4,1928,1990,100,"N","N","N",1,"1746 S HANFORD ST 98144"
"1313",713230,350,"",1,4,97,539,3,3,0,4,5,3,2013,2013,55,"Y","Y"," ",0,"HIAWATHA PL S 98144"
"1350",364610,95,"FOUR PLEX",1,2,4,550,3,3,0,4,4,3,1964,1983,100,"N","N","N",1,"2200 S MAIN ST 98144"
"1388",125020,485,"APT BLDG",2,3,15,587,3,3,0,4,3,3,1966,1980,100,"N","N","N",1,"301 26TH AVE S 98144"
"1400",859040,891,"LEIGHTON APARTMENTS",1,3,23,342,3,3,0,4,4,4,1907,1988,100,"N","Y","N",1,"814 COLUMBIA ST 98104"
"1432",524780,1970,"MIXED USE APT",1,6,63,330,2,3,0,3,4,4,1914,1980,100,"Y","Y","N",1,"306 6TH AVE S 98104"
"1454",754830,130,"7 UNIT",1,2,7,741,3,3,60,4,4,3,1967,1984,100,"N","N","N",1,"1532 14TH AVE S 98144"
"1475",767590,0," ",1,3,24,776,3,4,40,4,4,3,1988,1992,100,"Y","Y"," ",1,"1527 12TH AVE S 98144"
"1494",439750,0,"17 Units - 15 Residential / 2 Commercial",1,5,17,1677,2,3,0,2,6,5,1904,1985,100,"Y","Y","N",2,"210 3RD AVE S 98104"
"1536",59700,650,"ATTACHED SFR HOUSE TO RETAIL BUILDING",1,2,1,745,3,1,0,4,3,3,1910,1966,0,"N","N","N",2,"3019 BEACON AVE S 98144"
"1588",713330,300,"fourplex",1,3,4,930,3,3,50,4,4,3,2003,2003,100,"N","N"," ",2,"1550 S ATLANTIC ST 98144"
"1604",125020,530,"APTS",1,2,5,910,3,3,0,4,4,3,1984,1990,100,"N","Y","N",2,"325 MARTIN LUTHER KING JR WAY S 98144"
"1628",795300,0,"",1,25,514,724,3,3,70,2,5,3,2014,2014,100,"Y","Y"," ",2,"201 S KING ST 98134"
"1719",367940,101,"BELLA DONNA APTS",1,2,6,587,3,3,0,4,5,3,1957,1983,100,"N","N","N",1,"1450 S COLUMBIAN WAY 98144"
"1793",610825,0," ",1,3,7,728,3,3,0,3,4,3,1900,1975,0,"N","Y","N",1,"314 1ST AVE S 98104"
"1834",872668,0,"4 UNIT TOWNHOUSE/CONDO",2,2,4,840,3,3,0,4,3,3,1981,1986,100,"N","N"," ",1,"918 28TH AVE S 98144"
"1877",859090,455,"THE MONTICELLO APTS",1,3,107,397,2,3,0,3,4,4,1957,1985,100,"N","Y","N",1,"415 BOREN AVE 98104"
"1911",93900,120," ",1,10,89,426,3,3,25,3,4,4,1906,1986,100,"Y","Y","N",1,"107 CHERRY ST 98104"
"1934",983420,1270," ",1,2,4,980,3,4,50,4,4,4,1964,1991,100,"N","N","N",1,"3651 S SPOKANE ST 98144"
"1935",884905,0," ",1,5,176,755,3,3,0,4,6,3,2000,2000,100,"Y","Y","N",2,"512 S WELLER ST 98104"
"1956",524780,2050,"TICINO APARTMENTS",1,3,44,433,1,3,35,3,3,4,1903,1980,100,"Y","Y","N",1,"100 6TH AVE S 98104"
"1964",388190,235,"4-PLEX",1,2,4,930,3,3,25,4,4,3,1969,1985,100,"N","N","N",1,"1807 15TH AVE S 98144"
"1966",660077,0," ",1,2,1,0,0,0,0,2,4,3,2000,2001,0," "," "," ",0,"900 S JACKSON ST 98104"
"2003",331950,1835,"FOUR PLEX",1,2,4,718,3,2,0,4,4,3,1916,1975,100,"N","N","N",1,"1814 S WELLER ST 98144"
"2115",339510,0,"12 UNIT CONDO-CONVERSION",1,3,12,945,5,3,50,4,4,3,1959,1981,100,"N","Y"," ",1,"518 LAKESIDE AVE S 98144"
"2163",547960,0,"COM'L CONDO",1,3,1,9999,3,3,0,3,4,0,1905,1985,100,"Y","Y"," ",0,"401 1ST AVE S 98104"
"2209",795400,5,"MT BAKER VILLAGE APTS",9,3,144,748,3,3,0,4,4,4,1959,1989,100,"N","N","Y",1,"2531 29TH AVE S 98144"
"2217",125020,465,"6 unit apt",1,2,6,1090,3,2,0,4,5,4,1926,2000,100,"N","N"," ",2,"317 26TH AVE S 98144"
"2247",56700,590,"4 - PLEX",1,3,4,801,0,0,0,4,4,3,1963,1982,100,"N","N","N",1,"812 29TH AVE S 98144"
"2265",880970,0,"office",0,0,0,0,0,0,0,2,6,3,2000,2000,100,"N"," "," ",0,"401 S JACKSON ST 98104"
"2298",56700,570,"4 - PLEX",1,2,4,753,0,0,0,4,4,3,1963,1982,100,"N","N","N",1,"836 29TH AVE S 98144"
"2332",553050,0," ",0,0,0,0,0,0,0,0,0,0,2000,2000,0," "," "," ",0,"719 2ND AVE 98104"
"2388",331950,2195,"5 UNIT APT",1,2,5,938,3,3,20,4,4,3,1927,1977,100,"N","N","N",1,"1643 S WELLER ST 98144"
"2396",396440,230,"",2,2,3,671,3,2,0,4,4,2,1923,1960,100,"N","N","N",0,"3219 BEACON AVE S 98144"
"2415",425340,90,"SFR + Triplex",1,3,4,966,3,4,50,4,4,4,1980,1998,100,"N","N"," ",0,"2711 14TH AVE S 98144"
"2439",568000,920,"TRITON APTS",1,2,8,711,3,3,0,4,4,3,1959,1979,100,"N","N","N",1,"3601 14TH AVE S 98144"
"2481",315120,0,"105 Unit Condo",7,4,105,905,3,3,0,4,4,4,1985,1990,100,"Y","Y","N",2,"1311 12TH AVE S 98144"
"2487",809195,0,"12 UNIT CONDO",1,4,12,890,5,3,0,4,5,4,1982,1990,100,"N","Y","Y",2,"510 LAKESIDE AVE S 98144"
"2521",60600,20,"APARTMENT",1,3,11,840,3,3,0,4,4,3,1979,1988,100,"N","Y","N",1,"3212 BEACON AVE S 98144"
"2525",179160,0,"8 unit condo complex",3,2,8,1308,3,3,0,4,4,4,1958,1999,100,"N","N","Y",2,"3610 36TH AVE S 98144"
"2556",367940,30,"20-UNIT APT",1,4,20,790,3,3,50,4,4,3,1970,1985,100,"N","Y","N",1,"3440 14TH AVE S 98144"
"2557",713330,170,"2 - TRIPLEXES",1,3,6,687,3,3,100,4,4,3,1995,1995,100,"N","N","N",1,"1313 16TH AVE S 98144"
"2630",765860,170," ",1,3,6,1043,0,0,0,4,4,3,2004,2004,100," "," "," ",2,"1123 23RD AVE S 98144"
"2633",766060,115,"HEATHER",1,2,9,795,3,3,30,4,4,3,1961,1982,100,"N","N","N",1,"1712 13TH AVE S 98144"
"2674",859000,0,"26 units Condo",1,3,26,718,2,3,0,4,4,5,1907,2000,100,"N","Y","N",1,"403 TERRY AVE 98104"
"2712",859090,1030,"BARONESS APARTMENTS",1,6,59,406,4,3,0,2,6,4,1928,1985,100,"Y","Y","N",1,"1005 SPRING ST 98104"
"2843",912200,270," ",1,2,6,690,3,2,0,4,4,3,1940,1960,0,"N","N","N",0,"2400 BEACON AVE S 98144"
"2891",519810,0," ",1,4,9,1290,3,3,0,4,4,3,1987,1987,100,"Y","Y"," ",2,"1312 S MASSACHUSETTS ST 98144"
"2940",90700,90," ",1,3,3,1144,1,2,0,4,3,3,1908,1975,0," ","N","N",0,"2528 BEACON AVE S 98144"
"2977",766060,315,"C-XVII APTS",1,3,23,675,3,3,50,4,4,4,1967,1989,100,"N","N","N",1,"1100 S MASSACHUSETTS ST 98134"
"2988",59700,695,"",1,1,1,979,3,3,0,3,5,3,1926,1970,0,"N","N","N",2,"3057 BEACON AVE S 98144"
"3018",327480,210," ",1,2,5,995,3,3,0,4,4,3,1998,2003,100,"N"," "," ",1,"924 MARTIN LUTHER KING JR WAY S 98144"
"3100",331950,370," ",1,3,3,1143,3,3,0,4,4,3,1993,1993,0,"N","N","N",2,"2010 S MAIN ST 98144"
"3136",379600,265,"FOUR PLEX",1,2,4,747,3,3,0,4,4,4,1900,1990,100,"N","N","N",1,"206 27TH AVE S 98144"
"3182",60550,0," ",1,3,16,473,3,3,31,4,5,4,1957,1993,100,"N","N","N",2,"1401 S HOLGATE ST 98144"
"3198",859040,485,"SEVENTH & JAMES",1,4,96,630,2,3,0,4,4,4,1991,1999,100,"Y","Y","Y",2,"600 7TH AVE 98104"
"3217",128230,669,"4 PLEX",1,2,4,902,3,3,0,4,4,3,1954,1979,100,"N","N","N",1,"3320 CLAREMONT AVE S 98144"
"3233",63500,100,"APARTMENT",1,2,5,630,3,3,0,4,4,3,1959,1981,100,"N","N","N",1,"3521 S LESCHI PL 98144"
"3253",341660,420,"6 UNIT APTS",1,2,6,955,3,3,0,4,4,3,1953,1979,100,"N","N","N",0,"110 31ST AVE S 98144"
"3254",149830,662,"4-PLEX",1,2,4,901,3,3,50,4,5,4,1951,1988,100,"N","N","N",1,"1213 S PLUM ST 98144"
"3332",754880,10,"7 UNITS",1,2,7,662,3,3,30,4,4,4,1908,1985,100,"N","N","N",1,"1535 14TH AVE S 98144"
"3334",308600,2465,"KENMARK",1,3,10,677,3,3,33,4,5,4,1966,1993,100,"N","N","N",1,"2720 14TH AVE S 98144"
"3359",766010,225,"EAST VISTA",1,3,8,708,3,3,0,4,5,3,1968,1989,100,"N","N","N",1,"1526 12TH AVE S 98144"
"3380",197820,710,"SAN MARCO APARTMENTS",1,4,22,786,3,4,0,4,6,4,1905,1985,100,"N","Y","N",1,"1207 SPRING ST 98104"
"3403",345989,0,"8 UNIT CONDOMINIUM",1,4,8,1001,3,3,0,4,4,3,1989,1989,100,"Y","Y"," ",2,"1604 11TH AVE S 98134"
"3418",27200,515,"4-PLEX",1,2,4,882,2,2,0,4,2,3,1910,1960,100,"N","N","N",0,"1732 MARTIN LUTHER KING JR WAY S 98144"
"3467",766060,300,"SUN LIGHT APT",1,3,16,721,3,3,60,3,4,3,1969,1985,100,"N","N","N",1,"1537 12TH AVE S 98144"
"3469",983420,580,"YORK MANOR",1,3,9,589,3,3,0,4,4,3,1957,1980,100,"N","N","N",1,"3300 YORK RD S 98144"
"3481",335740,125," ",1,7,178,906,3,3,0,4,5,3,2005,2005,100,"Y","Y","N",2,"3642 33RD AVE S 98144"
"3482",364610,790,"14 UNIT APT BLDG",1,2,14,559,2,3,50,4,3,3,1986,1995,100,"N","Y","N",1,"539 23RD AVE S 98144"
"3544",59700,9," RETAIL W/RES UNIT",1,1,1,1208,2,2,0,3,4,3,1929,1966,0,"N","N","N",2,"3001 21ST AVE S 98144"
"3568",388190,230,"4-PLEX",1,2,4,930,3,3,25,4,4,3,1969,1985,100,"N","N","N",1,"1801 15TH AVE S 98144"
"3735",859090,145,"CHERRY TERRACE",1,3,51,431,3,3,0,4,4,3,1956,1978,100,"N","N","N",1,"915 CHERRY ST 98104"
"3788",539360,510,"4-PLEX",1,1,4,604,3,3,0,4,4,3,1957,1979,100,"N","N","N",0,"1425 S COLLEGE ST 98144"
"3850",193815,0,"FLATS",1,13,145,622,3,3,45,2,4,4,1950,1987,100,"Y","Y","N",1,"1105 SPRING ST 98104"
"3869",859040,865,"CLARWOOD APARTMENTS",1,4,45,393,3,3,0,3,4,3,1920,1972,100,"N","Y","N",1,"805 MARION ST 98104"
"3871",713330,111,"7 UNIT APT HOUSE",1,3,7,664,3,3,40,4,5,4,1979,1996,100,"N","Y","N",1,"1347 15TH AVE S 98144"
"3875",387310,0,"12 UNIT CONDO",3,2,12,1364,3,3,0,4,4,3,1996,1996,100,"N","N"," ",2,"501 23RD AVE S 98144"
"3891",713330,130,"APARTMENTS",1,3,12,792,3,2,100,4,4,3,1963,1982,100,"N","Y","N",1,"1326 15TH AVE S 98144"
"3896",308600,2470,"KENMARK",1,3,12,594,3,3,33,4,5,4,1966,1993,100,"N","N","N",1,"2718 14TH AVE S 98144"
"3907",713330,680,"APARTMENTS",1,3,6,675,3,3,0,4,4,3,1969,1985,100,"N","N","N",1,"1511 15TH AVE S 98144"
"3909",42404,9024,"",1,3,165,402,3,3,0,3,5,4,1963,1980,100,"Y","Y"," ",1,"2611 S DEARBORN ST 98144"
"3931",364610,150,"APARTMENT BLDG 5 UNITS",1,3,5,750,3,3,0,4,4,3,1965,1983,100,"N","N","N",1,"2100 S MAIN ST 98144"
"3932",149830,880,"4 - PLEX",1,2,4,611,3,3,75,4,4,3,1918,1971,100,"N","N","N",1,"1914 14TH AVE S 98144"
"3986",59700,620,"The Victor Apts",1,3,13,556,3,3,0,4,5,4,1927,1982,100,"N","Y","N",1,"1705 S STEVENS ST 98144"
"3990",524780,1990,"INTERNATIONAL APARTMENTS-54 UNIT",1,4,53,330,2,3,0,3,3,2,1910,1964,100,"N","Y","N",1,"315 MAYNARD AVE S 98104"
"4012",42404,9054,"",1,2,4,884,3,3,0,4,4,3,1962,1984,100," "," "," ",0,"830 28TH AVE S 98144"
"4076",437780,0,"4 Unit Condo",2,2,4,993,3,3,50,4,4,3,2003,2003,100,"N","N","N",2,"1709 16TH AVE S 98144"
"4081",856660,0," ",0,6,6,19658,0,0,0,3,4,0,2002,2002,0," "," "," ",0,"101 PREFONTAINE PL S 98104"
"4132",766060,310,"S.H.A. APTS",1,2,6,575,3,3,70,4,4,4,1900,1994,100,"N","N","N",1,"1545 12TH AVE S 98144"
"4152",713330,10,"MEI FONG APARTMENTS",1,3,6,731,3,3,50,4,4,3,1968,1985,100,"N","N","N",1,"1307 14TH AVE S 98144"
"4159",396440,305,"APTS",1,2,8,754,3,3,0,4,5,4,1922,1988,100,"N","Y","N",1,"1727 S HORTON ST 98144"
"4178",766010,355,"ALPINE A APTS",1,2,7,689,3,3,0,4,4,4,1966,1989,100,"N","N","N",1,"1722 12TH AVE S 98144"
"4190",643700,0,"13 RES UNITS 4 COML UNITS&11 PRK",1,4,17,774,2,4,0,3,7,5,1900,1972,100,"Y","Y"," ",2,"75 S MAIN ST 98104"
"4218",396440,255,"CRANMORE APTS",1,2,20,669,3,3,0,4,4,3,1915,1980,100,"N","Y","N",1,"3301 BEACON AVE S 98144"
"4220",524780,2015,"INTERNATIONAL TERRACE-EXEMPT",1,12,100,541,2,3,54,2,6,4,1973,1995,100,"Y","Y","N",1,"202 6TH AVE S 98104"
"4223",331950,975,"11 UNIT APT",1,4,11,1067,3,3,0,4,4,3,1990,1993,100,"N","N","N",1,"2035 S MAIN ST 98144"
"4284",678090,0,"28 C0NDO UNITS",1,4,28,710,5,4,80,4,4,4,1956,1985,100,"Y","Y","Y",2,"334 LAKESIDE AVE S 98144"
"4286",364610,65," ",1,4,120,786,0,0,0,4,4,3,2001,2001,100,"Y","Y","N",0,"113 23RD AVE S 98144"
